State,Persona,Support_Score,Support_Level
ACT,Night driver,0.17575757575757575,Weak support
ACT,Family traveller,0.19797979797979798,Weak support
ACT,Accessible traveller,0.2545454545454545,Weak support
ACT,Caravan traveller,0.1431818181818182,Weak support
NSW,Night driver,0.354501402703392,Weak support
NSW,Family traveller,0.3236844342429652,Weak support
NSW,Accessible traveller,0.33745643118252144,Weak support
NSW,Caravan traveller,0.24738587095128795,Weak support
NT,Night driver,0.4382716049382716,Moderate support
NT,Family traveller,0.28497942386831276,Weak support
NT,Accessible traveller,0.2561728395061728,Weak support
NT,Caravan traveller,0.2646604938271605,Weak support
QLD,Night driver,0.5089590443686007,Moderate support
QLD,Family traveller,0.26578498293515357,Weak support
QLD,Accessible traveller,0.2982792946530148,Weak support
QLD,Caravan traveller,0.22509598976109216,Weak support
SA,Night driver,0.4618980832164563,Moderate support
SA,Family traveller,0.2904784167056257,Weak support
SA,Accessible traveller,0.2929717936730559,Weak support
SA,Caravan traveller,0.22230014025245443,Weak support
TAS,Night driver,0.6153846153846154,Strong support
TAS,Family traveller,0.2560728744939271,Weak support
TAS,Accessible traveller,0.26214574898785425,Weak support
TAS,Caravan traveller,0.18901821862348178,Weak support
VIC,Night driver,0.4980026631158455,Moderate support
VIC,Family traveller,0.2995450510430537,Weak support
VIC,Accessible traveller,0.2879494007989347,Weak support
VIC,Caravan traveller,0.2120089880159787,Weak support
WA,Night driver,0.4770034843205575,Moderate support
WA,Family traveller,0.2868757259001161,Weak support
WA,Accessible traveller,0.3209059233449477,Weak support
WA,Caravan traveller,0.2547038327526132,Weak support
NA,Night driver,0.5,Moderate support
NA,Family traveller,0,Weak support
NA,Accessible traveller,0.16666666666666666,Weak support
NA,Caravan traveller,0,Weak support
