State,State_Full,Roadtrip_Readiness_Score,Component,Rate,Weight,Weighted_Value,Component_Order
ACT,Australian Capital Territory,0.3116666666666667,Accessible,0.5272727272727272,0.3,0.15818181818181817,1
ACT,Australian Capital Territory,0.3116666666666667,24-hour,0.17575757575757575,0.25,0.04393939393939394,2
ACT,Australian Capital Territory,0.3116666666666667,Parking,0.4424242424242424,0.2,0.08848484848484849,3
ACT,Australian Capital Territory,0.3116666666666667,Baby change,0.1303030303030303,0.15,0.019545454545454546,4
ACT,Australian Capital Territory,0.3116666666666667,Shower,0.01515151515151515,0.1,0.0015151515151515152,5
NSW,New South Wales,0.4620632491711298,Accessible,0.6175720479469523,0.3,0.18527161438408568,1
NSW,New South Wales,0.4620632491711298,24-hour,0.354501402703392,0.25,0.088625350675848,2
NSW,New South Wales,0.4620632491711298,Parking,0.7218821729150727,0.2,0.14437643458301455,3
NSW,New South Wales,0.4620632491711298,Baby change,0.23106350420811017,0.15,0.03465952563121653,4
NSW,New South Wales,0.4620632491711298,Shower,0.0913032389696506,0.1,0.00913032389696506,5
NT,Northern Territory,0.4313271604938272,Accessible,0.49382716049382713,0.3,0.14814814814814814,1
NT,Northern Territory,0.4313271604938272,24-hour,0.4382716049382716,0.25,0.1095679012345679,2
NT,Northern Territory,0.4313271604938272,Parking,0.6882716049382716,0.2,0.13765432098765432,3
NT,Northern Territory,0.4313271604938272,Baby change,0.1574074074074074,0.15,0.02361111111111111,4
NT,Northern Territory,0.4313271604938272,Shower,0.12345679012345678,0.1,0.012345679012345678,5
QLD,Queensland,0.46385452218430034,Accessible,0.6028156996587031,0.3,0.18084470989761092,1
QLD,Queensland,0.46385452218430034,24-hour,0.5089590443686007,0.25,0.12723976109215018,2
QLD,Queensland,0.46385452218430034,Parking,0.6077218430034129,0.2,0.12154436860068259,3
QLD,Queensland,0.46385452218430034,Baby change,0.17427474402730375,0.15,0.026141211604095563,4
QLD,Queensland,0.46385452218430034,Shower,0.08084470989761092,0.1,0.008084470989761092,5
SA,South Australia,0.4643758765778402,Accessible,0.6012155212716223,0.3,0.18036465638148666,1
SA,South Australia,0.4643758765778402,24-hour,0.4618980832164563,0.25,0.11547452080411408,2
SA,South Australia,0.4643758765778402,Parking,0.65684899485741,0.2,0.13136979897148202,3
SA,South Australia,0.4643758765778402,Baby change,0.20757363253856945,0.15,0.031136044880785415,4
SA,South Australia,0.4643758765778402,Shower,0.06030855539971949,0.1,0.00603085553997195,5
TAS,Tasmania,0.4570850202429151,Accessible,0.5303643724696356,0.3,0.15910931174089069,1
TAS,Tasmania,0.4570850202429151,24-hour,0.6153846153846154,0.25,0.15384615384615385,2
TAS,Tasmania,0.4570850202429151,Parking,0.5465587044534413,0.2,0.10931174089068828,3
TAS,Tasmania,0.4570850202429151,Baby change,0.19838056680161945,0.15,0.029757085020242914,4
TAS,Tasmania,0.4570850202429151,Shower,0.05060728744939271,0.1,0.005060728744939271,5
VIC,Victoria,0.4672686418109187,Accessible,0.5704061251664447,0.3,0.1711218375499334,1
VIC,Victoria,0.4672686418109187,24-hour,0.4980026631158455,0.25,0.12450066577896138,2
VIC,Victoria,0.4672686418109187,Parking,0.6581225033288948,0.2,0.13162450066577897,3
VIC,Victoria,0.4672686418109187,Baby change,0.2308588548601864,0.15,0.03462882822902796,4
VIC,Victoria,0.4672686418109187,Shower,0.05392809587217044,0.1,0.005392809587217044,5
WA,Western Australia,0.470801393728223,Accessible,0.5944250871080139,0.3,0.17832752613240416,1
WA,Western Australia,0.470801393728223,24-hour,0.4770034843205575,0.25,0.11925087108013938,2
WA,Western Australia,0.470801393728223,Parking,0.6655052264808362,0.2,0.13310104529616726,3
WA,Western Australia,0.470801393728223,Baby change,0.1843205574912892,0.15,0.02764808362369338,4
WA,Western Australia,0.470801393728223,Shower,0.12473867595818816,0.1,0.012473867595818817,5
NA,NA,0.275,Accessible,0.5,0.3,0.15,1
NA,NA,0.275,24-hour,0.5,0.25,0.125,2
NA,NA,0.275,Parking,0,0.2,0,3
NA,NA,0.275,Baby change,0,0.15,0,4
NA,NA,0.275,Shower,0,0.1,0,5
